id,symbol,full_name
1685599799167254532,WLD,Worldcoin
1685599799167254533,UNIBOT,Unibot
1685599799167254534,ARKM,Arkham
1685599799167254536,BITCOIN,HarryPotterObamaSonic10Inu (ETH)
1685599799167254538,SDEX,SmarDex
1685599799167254539,MAV,Maverick Protocol
1685599799167254540,XVG,Verge
1685599799167254544,XCAD,XCAD Network
1685599799167254545,ACA,Acala
1685599799167254546,EUL,Euler
1685599799167254547,KIN,Kin
1685599799167254548,XPRT,Persistence
1685599799167254549,LEASH,Doge Killer
1685599799167254550,AUCTION,Bounce
1685599799167254553,RFR,Refereum
1685599799167254555,TT,ThunderCore
1685599799167254559,SWEAT,Sweatcoin (Sweat Economy)
1685599799167254561,GAS,Gas
1685599799167254563,ROUTE,Router Protocol
1685599799167254564,GODS,Gods Unchained
1685599799167254568,PERP,Perpetual Protocol
1685599799167254570,WAGMIGAMES,WAGMI Games
1685599799167254573,DNX,Dynex
1685599799167254574,YGG,Yield Guild Games
1685599799167254576,SRM,Serum
1685599799167254577,PLU,Pluton
1685599799167254581,HIFI,Hifi Finance
1685599799167254582,FLM,Flamingo Finance
1685599799167254583,POLS,Polkastarter
1685599799167254584,IRIS,IRISnet
1685599799167254586,BSW,Biswap
1685599799167254590,TRB,Tellor Tributes
1685599799167254594,FORT,Forta
1685599799167254595,UTK,xMoeny
1685599799167254596,CTXC,Cortex
1685599799167254598,YFII,DFI.money
1685599799167254599,OXT,Orchid Protocol
1685599799167254600,ERN,Ethernity Chain
1685599799167254601,ATOR,AirTor Protocol
1685599799167254602,LOOKS,LooksRare
1685599799167254604,AVA,Travala.com
1685599799167254605,MDT,Measurable Data
1685599799167254606,ALU,Altura
1685599799167254610,DIA,DIA
1685599799167254615,ADS,Adshares
1685599799167254618,BOND,BarnBridge
1685599799167254619,SN,SpaceN
1685599799167254620,KP3R,Keep3rV1
1685599799167254621,LOKA,League of Kingdoms
1685599799167254622,FORTH,Ampleforth Governance
1685599799167254624,LTO,LTO Network
1685599799167254627,BIFI,Beefy
1685599799167254628,MLN,Enzyme
1685599799167254629,BAKE,BakerySwap
1685599799167254630,AQT,Alpha Quark
1685599799167254631,PROPC,Propchain
1685599799167254632,NAKA,Nakamoto Games
1685599799167254633,BTS,BitShares
1685599799167254634,XCN,Onyxcoin
1685599799167254635,ALCX,Alchemix
1685599799167254637,PHB,Phoenix
1685599799167254641,AMPL,Ampleforth
